run,year,electricity
1,2015,735.69095
1,2020,13963.2008482209
1,2025,48397.932856915
1,2030,124544.793324099
1,2035,196579.005330999
1,2040,263143.94542199996
1,2045,336671.736759999
1,2050,416135.457999999
2,2015,735.69095
2,2020,13962.8129442109
2,2025,50044.986620908
2,2030,126202.039001265
2,2035,197990.681231
2,2040,269796.454683999
2,2045,349393.01658
2,2050,434283.8771
3,2015,735.69095
3,2020,13963.58675323
3,2025,46744.183501922
3,2030,123156.16040977501
3,2035,195723.16038400002
3,2040,259821.860525
3,2045,327001.52963999903
3,2050,400250.5623
4,2015,735.69095
4,2020,13962.614986206001
4,2025,50863.871922904
4,2030,126830.286610603
4,2035,198284.80067999903
4,2040,272660.399325
4,2045,355132.61396
4,2050,442503.754499999
5,2015,735.69095
5,2020,13963.398796225
5,2025,47573.788851918
5,2030,124025.06758860301
5,2035,196498.969539999
5,2040,260474.336765999
5,2045,331092.93376
5,2050,407915.4076
6,2015,735.69095
6,2020,13961.654219181999
6,2025,45910.344915887
6,2030,122534.99398928099
6,2035,195469.681645
6,2040,259979.52811699998
6,2045,323931.808009999
6,2050,393636.126199999
7,2015,735.69095
7,2020,13963.774711234999
7,2025,49226.553154925
7,2030,125317.745488638
7,2035,197160.049139
7,2040,266437.073587999
7,2045,343005.03800999996
7,2050,425180.629499999
8,2015,735.69095
8,2020,13963.483329228
8,2025,48812.91143492
8,2030,124980.827842344
8,2035,196978.19414600002
8,2040,264848.91850499995
8,2045,339862.56597999996
8,2050,420856.88129999896
9,2015,735.69095
9,2020,13962.708510208
9,2025,45284.504321905995
9,2030,121964.136597644
9,2035,195031.81845199998
9,2040,259680.434786
9,2045,321800.00535999995
9,2050,389512.9324
10,2015,735.69095
10,2020,13963.878235238
10,2025,47162.779807927
10,2030,123715.797412549
10,2035,196385.053172
10,2040,260598.243988999
10,2045,329688.853669999
10,2050,404982.2477
11,2015,735.69095
11,2020,13963.1074252179
11,2025,50456.666275913
11,2030,126484.91487951898
11,2035,198066.242217
11,2040,271237.009516
11,2045,352185.92284
11,2050,438361.7533
12,2015,735.69095
12,2020,13963.304372223
12,2025,47986.254915915895
12,2030,124289.245084751
12,2035,196559.60381499902
12,2040,261918.879361
12,2045,334086.36477
12,2050,412357.779199999
13,2015,735.69095
13,2020,13962.521563204
13,2025,51477.576425902
13,2030,127457.650544432
13,2035,198819.626321999
13,2040,274363.09341800003
13,2045,358218.52330999996
13,2050,446927.034
14,2015,735.69095
14,2020,13963.681287233
14,2025,49638.620016924
14,2030,125805.89348474599
14,2035,197669.67012199902
14,2040,268250.530671
14,2045,346305.34098
14,2050,429837.0303
15,2015,735.69095
15,2020,13962.908468213
15,2025,46324.29864391
15,2030,122712.24873257699
15,2035,195310.02631800002
15,2040,259443.62962700002
15,2045,324914.035579999
15,2050,396161.233099999
16,2015,735.69095
16,2020,13963.055213217
16,2025,46948.529710912
16,2030,123295.180513209
16,2035,195765.34749899898
16,2040,259761.090072999
16,2045,327878.24113000004
16,2050,401946.8114
17,2015,735.69095
17,2020,13963.816022236
17,2025,50255.5506689259
17,2030,126334.60953245801
17,2035,197992.520631999
17,2040,270398.855711999
17,2045,350706.30171
17,2050,436179.66000000003
18,2015,735.69095
18,2020,13962.666198207
18,2025,48603.430242905
18,2030,124946.96848624399
18,2035,197161.299484
18,2040,264438.634545
18,2045,338776.74202999903
18,2050,418992.8908
19,2015,735.69095
19,2020,13963.441118227
19,2025,45078.756946919
19,2030,121714.682442483
19,2035,194775.599894
19,2040,259430.71920700002
19,2045,320738.58833
19,2050,387639.6494
20,2015,735.69095
20,2020,13962.856357213
20,2025,49428.1329619089
20,2030,125600.929405795
20,2035,197508.627849
20,2040,267442.531689
20,2045,344741.17777999904
20,2050,427599.6974
21,2015,735.69095
21,2020,13963.628065231
21,2025,46123.113992923
21,2030,122779.088151816
21,2035,195701.96764299998
21,2040,260186.84468499996
21,2045,325002.73484
21,2050,395587.3877
22,2015,735.69095
22,2020,13962.479240202001
22,2025,47775.658656900996
22,2030,124184.39805607
22,2035,196592.516963
22,2040,261139.98447999998
22,2045,332437.58273
22,2050,409915.9106
23,2015,735.69095
23,2020,13963.253160222
23,2025,51276.510930916
23,2030,127139.73940677101
23,2035,198408.836178
23,2040,273307.220445
23,2045,356431.847209999
23,2050,444360.79
24,2015,735.69095
24,2020,13963.732499234
24,2025,50665.2384759239
24,2030,126617.500643636
24,2035,198099.01256399901
24,2040,271904.391356
24,2045,353577.78977
24,2050,440458.37850000005
25,2015,735.69095
25,2020,13962.960679215
25,2025,47364.02954191
25,2030,123800.457397537
25,2035,196296.334837
25,2040,260302.698654
25,2045,330084.351899999
25,2050,406034.4366
26,2015,735.69095
26,2020,13963.346594224
26,2025,45497.005009917
26,2030,122221.85623491199
26,2035,195319.796224999
26,2040,260007.087536
26,2045,323036.698139999
26,2050,391924.42179999995
27,2015,735.69095
27,2020,13962.572775205
27,2025,49013.968147903
27,2030,125179.47995545101
27,2035,197120.594632
27,2040,265732.431709
27,2045,341534.02453
27,2050,422942.809999999
28,2015,735.69095
28,2020,13963.919446238
28,2025,46538.7981419279
28,2030,123008.921940688
28,2035,195683.32949
28,2040,259910.08989999996
28,2045,326328.636139999
28,2050,398828.145699999
29,2015,735.69095
29,2020,13963.159637219002
29,2025,49841.205907914
29,2030,126008.87892425
29,2035,197828.699971
29,2040,269000.35753399995
29,2045,347726.76785
29,2050,431948.260399999
30,2015,735.69095
30,2020,13963.5345412289
30,2025,51483.907915921
30,2030,127442.89337991399
30,2035,198801.517411
30,2040,274741.747635
30,2045,358955.394209999
30,2050,448010.11809999903
31,2015,735.69095
31,2020,13962.76072221
31,2025,48188.953305907
31,2030,124363.08522586501
31,2035,196456.14083699998
31,2040,262373.195264
31,2045,335161.435139999
31,2050,413935.6925
32,2015,735.69095
32,2020,13963.325483224
32,2025,49841.290132917
32,2030,125845.57167903199
32,2035,197508.104535999
32,2040,268300.357286999
32,2045,346677.65229999897
32,2050,430576.7597
33,2015,735.69095
33,2020,13962.5526632039
33,2025,46323.992284903
33,2030,122848.186453142
33,2035,195593.22555600002
33,2040,259881.12905299998
33,2045,325912.149359999
33,2050,397789.879
34,2015,735.69095
34,2020,13963.701388233
34,2025,47989.714214923995
34,2030,124418.242012567
34,2035,196827.936953
34,2040,262614.247057999
34,2045,335176.2007
34,2050,413914.3851
35,2015,735.69095
35,2020,13962.928578214
35,2025,51479.6776239099
35,2030,127351.498283017
35,2035,198604.05973
35,2040,274459.561509
35,2045,358728.96881
35,2050,447748.610799999
36,2015,735.69095
36,2020,13963.513430227998
36,2025,47159.56998692
36,2030,123594.834938264
36,2035,196137.614247
36,2040,260210.916258999
36,2045,329564.14106
36,2050,405218.4215
37,2015,735.69095
37,2020,13962.739621208999
37,2025,50660.126573905996
37,2030,126760.557819554
37,2035,198380.695896
37,2040,271845.786223
37,2045,353230.2917
37,2050,439706.52039999905
38,2015,735.69095
38,2020,13963.899345238
38,2025,49022.368585927994
38,2030,125290.47601828899
38,2035,197357.65096499998
38,2040,265569.506265
38,2045,341087.60226
38,2050,422478.1353
39,2015,735.69095
39,2020,13963.128526219001
39,2025,45493.458216913
39,2030,122019.075492069
39,2035,194893.178991
39,2040,259338.277842999
39,2045,321903.35368
39,2050,390178.398399999
40,2015,735.69095
40,2020,13962.646087207
40,2025,45908.1492969049
40,2030,122431.482825363
40,2035,195258.545067
40,2040,259655.099067
40,2045,323884.75587
40,2050,393980.903
41,2015,735.69095
41,2020,13963.420007226
41,2025,49431.528068919
41,2030,125650.42133881299
41,2035,197595.922554
41,2040,267205.304574999
41,2045,344092.24175999995
41,2050,426640.820699999
42,2015,735.69095
42,2020,13963.022002216001
42,2025,51071.927165912006
42,2030,127153.029230748
42,2035,198698.330749999
42,2040,273425.74716200004
42,2045,356253.727829999
42,2050,444049.5759
43,2015,735.69095
43,2020,13963.794811236
43,2025,47575.136962926
43,2030,123949.183847468
43,2035,196344.519336
43,2040,260609.81132799998
43,2045,331678.78436999995
43,2050,408842.965799999
44,2015,735.69095
44,2020,13962.449140202
44,2025,50247.5538299009
44,2030,126276.282256501
44,2035,197891.660365
44,2040,269905.991248
44,2045,349669.97009
44,2050,434755.0113
45,2015,735.69095
45,2020,13963.231949221
45,2025,46743.492785915
45,2030,123283.27476235
45,2035,195974.43158499998
45,2040,260192.358839
45,2045,327905.16283
45,2050,401554.31600000005
46,2015,735.69095
46,2020,13962.835044210999
46,2025,45076.763564908004
46,2030,121793.564202225
46,2035,194950.845646
46,2040,259711.167525
46,2045,320518.09803999995
46,2050,387034.0299
47,2015,735.69095
47,2020,13963.606964231001
47,2025,48606.810982922
47,2030,124759.92016182399
47,2035,196763.674425
47,2040,263628.70398299996
47,2045,337609.20314
47,2050,417403.692399999
48,2015,735.69095
48,2020,13963.931657239
48,2025,51690.145400928
48,2030,127499.16962550001
48,2035,198664.698562
48,2040,275334.103987999
48,2045,360338.94023999904
48,2050,450029.86309999996
49,2015,735.69095
49,2020,13963.17973722
49,2025,48192.493260914
49,2030,124512.03398322
49,2035,196752.484393
49,2040,263081.30882000003
49,2045,336254.74924
49,2050,415447.031699999
50,2015,735.69095
50,2020,13963.5546522299
50,2025,46538.047937920994
50,2030,123122.899029965
50,2035,195910.92016699899
50,2040,260248.75745299904
50,2045,327202.23884
50,2050,400106.68830000004
51,2015,735.69095
51,2020,13962.775079197
51,2025,50043.589120898
51,2030,126063.89230810899
51,2035,197687.47853999998
51,2040,269055.97117699997
51,2045,348098.02045
51,2050,432467.5348
52,2015,735.69095
52,2020,13963.878970077001
52,2025,45705.715623811
52,2030,122306.106796137
52,2035,195245.83987899998
52,2040,259767.217350999
52,2045,323257.997419999
52,2050,392565.121899999
53,2015,735.69095
53,2020,13962.963148203
53,2025,49223.1296679019
53,2030,125486.96277146101
53,2035,197501.56672200002
53,2040,266462.56221
53,2045,342613.527789999
53,2050,424432.8947
54,2015,735.69095
54,2020,13963.343812218001
54,2025,50868.861868913
54,2030,126932.042250499
54,2035,198496.958241
54,2040,272618.749473
54,2045,354754.325219999
54,2050,441963.6978
55,2015,735.69095
55,2020,13962.589567195999
55,2025,47360.729445897
55,2030,123677.543430547
55,2035,196046.95624
55,2040,259920.879411
55,2045,330128.95967
55,2050,406419.309799999
56,2015,735.69095
56,2020,13962.871160203998
56,2025,47776.305723902995
56,2030,124037.556541451
56,2035,196289.909368999
56,2040,261314.51828199998
56,2045,332995.63826
56,2050,410684.240299999
57,2015,735.69095
57,2020,13963.6324332199
57,2025,51279.432920914
57,2030,127247.34945422
57,2035,198624.66410099898
57,2040,273915.722353
57,2045,357405.90372999996
57,2050,445710.4
58,2015,735.69095
58,2020,13962.486469196
58,2025,49632.271855897
58,2030,125861.54544726798
58,2035,197791.32871200002
58,2040,268015.521153
58,2045,345746.02695
58,2050,428892.524899999
59,2015,735.69095
59,2020,13963.2558422119
59,2025,46119.490605909
59,2030,122641.04955220601
59,2035,195420.058214
59,2040,259754.73360200002
59,2045,324831.651039999
59,2050,395759.2527
60,2015,735.69095
60,2020,13963.070442211
60,2025,48810.946135908
60,2030,125006.036809686
60,2035,197036.08910199898
60,2040,264564.17737600004
60,2045,339281.708519999
60,2050,419786.3749
